competition_id,competition_name
8594603,Peruvian Primera Division
8660342,"ITF Women Stuttgart-Stammheim, Germany"
8771055,Salvadoran U20
8825958,Cameroonese Elite One
8872767,Argentinian Torneo Federal B
8964557,Swiss 1 Liga Promotion
8995647,Slovenian 2 SNL
9076921,Ligue 1
9081068,Brunei Super League
9135927,ITF Sharm El Sheikh
9136657,ITF Qatar Futures
9136805,ITF Uzbekistan Futures
9157375,ITF Hammamet
9157389,ITF Antalya
9159229,ITF Santa Margherita
9159230,ITF Turkey Futures
9160746,ITF Spain Futures
9160824,ITF Istanbul
9188376,ITF France Futures
9189643,ITF Hungary Futures
9190181,ITF USA Futures
9192710,ITF Italy Futures
9195419,ITF Greece Futures
9195427,ITF Heraklion
9199306,ITF Chiasso
9199555,ITF Charlottesville
9199573,ITF Nigeria Futures
9230272,ITF India Futures
9230292,ITF Kazakhstan Futures
9230785,ITF Wiesbaden
9245107,ITF Tunisia Futures
9251126,ITF Gifu
9251272,Cambodian C-League
9251291,ITF Sweden Futures
9251369,ITF Indian Harbour Beach
9273165,ITF Khimki
9273255,ITF Argentina Futures
9273279,ITF Romania Futures
9291207,ITF Villa Maria
9291233,ITF Mexico Futures
9308096,ITF Portugal Futures
9314634,ITF Trnava
9318138,Panama Liga Nacional de Ascenso Playoffs
9318485,ITF Fukuoka
9337604,ITF China Futures
9337680,ITF Saint-Gaudens
9337744,ITF Bastad
9337826,ITF Monzon
9337842,ITF Naples
9339325,ITF La Marsa
9356048,ITF Czech Rep Futures
9356766,Peruvian Segunda Division
9358725,ITF Kurume
9358927,ITF Caserta
9359720,ITF Goyang
9359842,ITF Israel Futures
9398253,ITF Bosnia Futures
9404054,Dutch Eredivisie
9408201,ITF Tianjin
9409367,ITF Grado
9409417,ITF Warsaw
9436752,ITF Incheon
9436790,ITF Andijan
9450420,ITF Karuizawa
9454081,ITF La Bisbal
9456279,ITF Japan Futures
9456420,ITF Brescia
9476026,ITF Madrid
9476049,ITF Poland Futures
9476188,ITF Hodmezovasarhely
9490680,ITF Turkey
9500435,ITF Essen
9500449,ITF Surbiton
9501138,ITF Hong Kong Futures
9501170,ITF Tokyo
9501242,ITF Minsk
9501278,ITF Akko
9501316,ITF Padova
9501358,ITF Buenos Aires
9515323,ITF Tokyo
9515323,ITF Tokyo 2022
9515323,"ITF Tokyo, Japan"
9526371,ITF Bethany Beach
9533500,ITF Montpellier
9533518,ITF Ilkley
9534165,ITF Belgium Futures
9534199,ITF Braunschweig
9534363,ITF Netherlands Futures
9554737,ITF Colombia Futures
9555820,ITF Alkmaar
9555824,ITF Maribor
9555834,ITF Oeiras
9558997,ITF Prerov
9576092,ITF Perigueux
9577046,ITF Ystad
9577078,ITF Rome
9597533,ITF Moscow
9597551,ITF Russia Futures
9613053,ITF Canada Futures
9613287,ITF North Macedonia Futures
9616796,ITF Cantanhede
9617433,ITF Germany Futures
9624051,ITF Denain
9653242,ITF Torun
9653463,ITF Stuttgart-Vaihingen
9653495,ITF Helsingborg
9663741,ITF Brazil Futures
9663755,ITF Egypt Futures
9665859,ITF Kazan
9669750,Chilean Tercera Division
9685733,ITF Contrexeville
9686896,ITF Budapest
9686941,ITF Versmold
9699553,ITF Amstelveen
9710111,ITF Getxo
9710129,ITF Torino
9721009,ITF Lisbon
9721113,ITF Austria Futures
9724568,ITF Olomouc
9724810,ITF Germany
9725833,ITF Winnipeg
9725849,ITF Stockton
9734707,ITF Hong Kong
9734931,ITF Prokuplje
9735003,ITF Aschaffenburg
9772015,ITF Don Benito
9772087,ITF Lithuania Futures
9772103,ITF Darmstadt
9806468,ITF Astana
9806708,ITF Bad Waltersdorf
9820141,ITF Serbia Futures
9830954,ITF Evansville
9835254,ITF Prague
9835321,ITF Lexington
9836222,ITF Parnu
9853582,ITF Horb
9864197,ITF Austin
9871130,ITF Slovakia Futures
9873255,ITF Granby
9873714,ITF Nonthaburi
9875230,ITF Bad Saulgau
9875246,ITF Finland Futures
9875276,ITF Vienna
9875294,ITF Tarvisio
9880983,ITF Valladolid
9881066,ITF Fort Worth
9882094,EFL Trophy
9886504,Womens One Day Internationals
9890892,ITF Koksijde
9891560,ITF Naiman
9903513,ITF Hechingen
9903553,ITF Las Palmas
9903859,ITF Landisville
9925755,ITF Arad
9936520,ITF Switzerland Futures
9937383,ITF Leipzig
9937512,ITF Medellin
9960604,ITF Oldenzaal
9961112,Royal London One Day Cup
9962116,One Day Internationals
9969088,ITF Bagnatica
9970067,ITF Tsukuba
9970085,ITF Thailand Futures
9990968,ITF Poertschach
9991613,County Championship Div 2
9991615,County Championship Div 1
9992265,English Football League Trophy
9992899,International Twenty20 Matches
9998907,Tamil Nadu Premier League
10000388,ITF Guiyang
10001698,ITF Almaty
10002048,ITF Barcelona
10002096,ITF Trieste
10020366,ITF Yeongwol
10020873,Japanese J League Cup
10021790,ITF Vrnjacka Banja
10029990,Belgian First Amateur Division
10035086,ITF Telavi
10036352,ITF Kyoto
10083930,ITF Dobrich
10083934,ITF Biarritz
10084151,ITF Petange
10093487,ITF Zhuhai
10095618,ITF Lubbock
10096267,ITF Ricany
10119660,ITF Saint Malo
10121047,ITF Australia Futures
10121242,ITF Podgorica
10121887,ITF Hua Hin
10136356,ITF Nottingham
10154114,ITF Las Vegas
10154460,ITF Brisbane
10155869,ITF Melilla
10156853,Swedish U21
10157499,ITF Roehampton
10157549,ITF Charleston
10163965,ITF Sozopol
10183951,ITF Mexico City
10184015,ITF Telde
10186467,ITF Redding
10186607,Fiji Inter District Championship
10187098,Czech Rep Cup
10188356,ITF Porto
10227353,ITF Lagos
10228028,ITF Makinohara
10228030,ITF Cairns
10271348,ITF Chinese Taipei Futures
10271432,ITF Jakarta
10283675,ITF Suzhou
10284023,ITF Joue-Les-Tours
10284071,ITF Saguenay
10301536,ITF Hamamatsu
10308799,Irish Play-off
10311486,Russian Cup
10312515,ITF Poitiers
10313062,ITF Bendigo
10313967,ITF Macon
10314672,ITF Liuzhou
10317598,ITF Pune
10321537,ITF Great Britain Futures
10323096,ITF Loughborough
10328858,Twenty20 Big Bash
10329460,ITF Toronto
10329915,ITF Canberra
10343446,ITF Casablanca
10351342,ITF South Africa Futures
